id,level,expression,reading,meaning_en,meaning_zh,tags,source_guid,source
jlpt-n5-0001,N5,ああ,ああ,"Ah!, Oh!",啊；哦（表示感叹）,JLPT JLPT_4 JLPT_5 JLPT_N5,HI-.Ij?HS~,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0002,N5,会う,あう,"to meet, to see",见面；会见,JLPT JLPT_3 JLPT_5 JLPT_N5,kupB!kWE}<,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0003,N5,青,あお,blue,蓝色,JLPT JLPT_5 JLPT_N5,HB)I{+$j.i,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0004,N5,青い,あおい,blue,蓝色的,Genki Genki_Ln.9 JLPT JLPT_5 JLPT_N5,q(A)lc.Kr8,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0005,N5,赤,あか,red,红色,JLPT JLPT_5 JLPT_N5,y!Fn9IOz@J,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0006,N5,赤い,あかい,red,红色的,Genki Genki_Ln.9 Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_5 JLPT_N5,D`aKGX2j!#,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0007,N5,明るい,あかるい,bright (in reference to personality or weather); cheerful,明亮的；开朗的,Genki Genki_Ln.18 Intermediate_Japanese Intermediate_Japanese_Ln.11 JLPT JLPT_5 JLPT_N5,m>)z8|k.>J,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0008,N5,秋,あき,fall (season),秋天,Genki Genki_Ln.10 Intermediate_Japanese Intermediate_Japanese_Ln.4 JLPT JLPT_3 JLPT_5 JLPT_N5,H~$iS3{X?*,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0009,N5,開く,あく,"to open, to become open",开；打开（不及物）,JLPT JLPT_3 JLPT_5 JLPT_N5,m[4![DH*c~,jamsinclair/open-anki-jlpt-decks
jlpt-n5-0010,N5,開ける,あける,to open (v.t.),打开（及物）,Intermediate_Japanese Intermediate_Japanese_Ln.12 JLPT JLPT_3 JLPT_5 JLPT_N5,y.#AVx@-k>,jamsinclair/open-anki-jlpt-decks
